Date,Open,High,Low,Close,Adj Close,Volume
2016-01-13,722.000000,726.000000,674.799988,716.599976,571.257874,102311
2016-01-14,697.200012,707.299988,687.049988,691.650024,551.368408,45992
2016-01-15,697.900024,703.400024,655.000000,663.450012,528.887939,41377
2016-01-18,655.000000,683.650024,642.549988,656.700012,523.507080,50612
2016-01-19,662.000000,700.950012,660.000000,695.400024,554.357727,61336
2016-01-20,690.000000,694.950012,669.000000,689.150024,549.375427,64852
2016-01-21,710.000000,725.049988,695.250000,699.349976,557.506714,115706
2016-01-22,708.000000,720.000000,701.400024,709.799988,565.837280,62622
2016-01-25,715.000000,716.500000,705.099976,708.099976,564.481873,43673
2016-01-27,712.000000,716.650024,701.250000,704.500000,561.612122,59806
2016-01-28,704.700012,724.450012,696.000000,699.400024,557.546387,34272
2016-01-29,699.000000,712.000000,697.000000,706.299988,563.046997,73883
2016-02-01,704.000000,709.750000,700.000000,708.400024,572.009888,38174
2016-02-02,715.000000,718.000000,690.700012,693.700012,560.140198,57998
2016-02-03,681.099976,689.250000,669.000000,675.049988,545.080933,52179
2016-02-04,680.000000,689.750000,646.049988,660.650024,533.453308,42482
2016-02-05,665.400024,685.849976,663.250000,682.799988,551.338745,40269
2016-02-08,684.549988,689.400024,668.500000,672.099976,542.698914,30625
2016-02-09,661.099976,663.799988,623.700012,627.099976,506.362793,88688
2016-02-10,621.000000,634.000000,605.549988,625.450012,505.030518,71511
2016-02-11,626.000000,636.799988,604.000000,615.250000,496.794373,98725
2016-02-12,615.000000,616.950012,585.000000,602.299988,486.337646,95808
2016-02-15,615.000000,639.950012,601.450012,636.250000,513.751099,100572
2016-02-16,638.750000,642.349976,610.000000,616.000000,497.399872,59355
2016-02-17,616.000000,617.549988,586.049988,610.500000,492.958893,142815
2016-02-18,615.599976,624.849976,600.250000,608.200012,491.101685,55957
2016-02-19,604.000000,611.299988,595.750000,597.650024,482.582886,49165
2016-02-22,598.000000,598.000000,579.000000,582.400024,470.269073,209744
2016-02-23,583.000000,585.000000,558.000000,565.349976,456.501678,323798
2016-02-24,564.900024,568.000000,551.000000,553.250000,446.731384,180941
2016-02-25,555.000000,575.349976,553.650024,560.299988,452.424011,75646
2016-02-26,571.000000,581.450012,565.750000,576.099976,465.181915,131730
2016-02-29,583.000000,588.450012,560.049988,575.049988,464.334167,136254
2016-03-01,579.500000,628.000000,579.500000,623.750000,503.657867,196091
2016-03-02,630.000000,669.950012,626.549988,648.799988,523.884888,159295
2016-03-03,652.799988,659.599976,640.000000,648.950012,524.006042,91863
2016-03-04,651.200012,674.000000,643.349976,669.650024,540.720581,103637
2016-03-08,666.950012,684.900024,651.150024,661.799988,534.381958,97605
2016-03-09,659.000000,666.950012,649.500000,655.900024,529.617798,52064
2016-03-10,657.099976,662.299988,650.000000,654.900024,528.810425,80060
2016-03-11,659.000000,659.000000,643.000000,646.349976,521.906555,40682
2016-03-14,652.049988,657.450012,646.299988,651.599976,526.145752,57413
2016-03-15,652.349976,659.450012,644.299988,649.599976,524.530823,61494
2016-03-16,648.000000,648.000000,623.200012,635.700012,513.307007,56530
2016-03-17,642.700012,647.900024,631.200012,635.500000,513.145569,51266
2016-03-18,633.000000,633.000000,606.099976,611.849976,501.146088,72961
2016-03-21,619.000000,650.500000,617.849976,645.200012,528.461914,114595
2016-03-22,659.500000,659.500000,639.000000,646.099976,529.199280,50920
